teff,fe_h
3776.794,0.2576241
4424.998,-0.485137
3770.686,0.32278
4587.793,0.3656443
4817.104,0.30665
3825.427,0.2740014
3700.735,0.3150337
3720.885,0.2386643
3912.292,0.3473335
4107.949,-0.5034727
4218.866,0.3256406
4324.697,0.3874364
4105.022,0.2148497
3826.282,0.3236451
3745.35,-0.8699897
4164.719,0.2126449
3669.225,-0.1982959
3679.015,0.2800466
3687.302,0.2510181
4940.616,0.3478866
4406.066,0.2313487
3774.64,-0.3447905
3578.477,0.1459664
4193.104,0.3738635
4361.006,0.4377222
3619.032,-0.02932917
3909.6,0.1995308
4124.833,0.1912187
4096.83,0.3494088
3855.359,0.3729567
4934.08,0.2652449
3848.165,0.3010395
3578.75,-1.07249
4147.346,0.2690228
3659.086,-0.2566431
3617.257,-1.003361
4264.871,0.4937073
3583.513,-0.2054189
3643.381,-0.09059515
3757.588,0.1066251
3616.376,0.2048836
4903.615,0.08720308
4340.016,-0.2726457
3709.888,-1.2569
3720.535,0.2633542
4534.89,0.2779244
3716.277,0.2281604
4140.091,0.2461261
3809.871,0.2617489
4032.99,-0.3410798
4484.048,0.3152339
3580.743,0.04382775
4588.063,0.2451689
4134.959,0.2786885
3973.535,0.2770153
3580.29,0.1394235
3580.349,-0.507329
4570.645,0.3188853
4538.904,0.3501347
3641.313,0.2781478
4085.846,0.328029
3631.969,-0.6023995
4424.427,0.2769181
3667.944,0.08748629
3823.209,0.1000608
4731.958,0.3144843
3714.862,-0.3827159
3709.387,0.1760427
4518.192,0.4179825
4378.139,0.2956845
4716.609,0.3533114
4189.222,0.3404922
3642.382,0.1613844
4694.156,0.2940795
3949.938,0.2229441
4849.822,0.1426486
5006.611,-0.5618972
4793.022,0.2294424
4642.349,-0.3403582
4659.312,-0.4117289
4536.876,-0.1022686
4929.657,-0.3952719
4912.458,-0.6360252
4660.538,0.2271369
4654.948,-0.5459967
5004.737,-0.3059427
4971.204,-0.6325083
4596.957,-0.003834866
